youtube_id,label
GcTww0NOCk0,0
zeIkGEHK46I,1
-Fwy8NwefTk,2
YYgESo5eQD8,3
38Ml6v4vPzY,4
sDD0p8h88rI,5
09AinCnKAE8,1
oSLF9nm-FsA,0
qyTDZajMSqQ,6
pRebkWHsHC0,7
nGx0rZBQa84,8
EFuWFeI2g6U,9
I5Uv9aGiyOQ,3
QpBihhfoqiA,6
O8pbfj5KkaI,4
yYCLK5m4hYw,7
vDrA6LEFvUQ,2
jNZq06PrwTM,5
LJUeH2YMWN8,0
C4Sv9AIOzCI,5
YgYJGayETlI,10
I7ZNgqUKjZ0,11
nHC09bqk9u0,12
LKzoGC1npcw,6
BLHhmBU-Tts,2
h8AGcIHRsoc,4
8vmr4mHxmks,2
8fSF6jCy7Qk,13
ZEB0X4ojJbI,11
QF0u6V3l5HI,14
WxT0lvdXWms,12
rIFZmnb-VsY,15
dwCRDTaKZ8Y,16
S7UXJIM8QpU,6
xpx6ccaYIE4,6
OiwxcoT2Xog,8
fci8rGISpEA,15
EFVkN6zUta0,4
MGpIlEFl96Q,16
gCtibUWTcYo,17
ASMBCSQakUg,0
uI2ANreTjsY,16
yTWTgkRBGhM,4
YkBH--lw1ww,0
qsZ5OlG9GwA,4
Csj1UUFQ30I,18
bUPLq6grnjM,11
hhtLeprzZ3w,16
ozUoLCvr4-w,1
8psqhKdY0VU,3
SX7xEsx7KPA,16
zEQfwUvHdLI,0
H9yPB3rWiFE,3
LXFY4GoTlQI,3
4YK9k1RSCzY,0
DfbmfYSk1QA,2
F6ZWneKIJAM,12
vXppH8bPvTQ,7
-Jr4hagX4fY,7
rn3XUfC5WCY,7
Wg86ercBjY0,4
TYmdsdukKgE,0
2rlWNAR4i20,5
XWsoFOD75xM,12
GF2sebyC-F0,4
cTEhz26JRyU,2
rYy79y1IIPg,16
nNLSyQKs4Zg,8
jWw5Tg0OK5E,8
mMElJrrA77Q,2
O12JRDM2bEc,1
BvBvdawr6RU,6
-X7ufJ7wRGQ,3
oQ1zAKxDqGk,4
8p8uZMoFe1c,4
XJNlj1sv9z0,17
rENDZkg0cJI,17
7SkFpZRR-LQ,5
cQLlHPM6H4Y,12
O4IKUAEYEfQ,1
tAGhDV5JScY,3
Orf4wPHIBCA,10
Ww0a2IB7SpI,14
DaGVOZQCX6k,5
Ig6WjHtjeIA,16
a2gt6vtJ14E,4
AcS7wXAS9zQ,3
XEA4CJrqu-w,16
FRLLgY9MbF8,11
VKMvIUqO580,19
xfju0Yk6PH4,10
UxHvdzISRWg,19
4nv7tKcW1JM,11
HwepbD7U3CA,12
-Zedueym2Fo,16
8yIwgbv5iec,5
mi3mHq4WyR0,11
quNyWAt9HGg,7
EGpb7r1ErN4,5
VsugvLZlf20,2
Ia5ZTVQnsBw,10
SDQsfIkAA9c,16
3KhWcsYCEE8,5
aWwHDU-jrJY,11
9a3yWKJdpxM,11
qIUSDYPbl9o,18
E6mI7BfxtF0,11
xuiijkGiPXo,14
BaOyL9LIXjA,17
dtzrH09760g,19
CfXqIh8betw,18
MZ1HvEKgEaw,7
nXhDnUlM6O0,11
2K-dquqiFz4,9
p8VRb8KenNM,11
TZBulH3hq1A,11
Bu8tDL1uE9A,18
E1NPGDEe9Kk,6
RCMZ5nbeegc,0
Cz0eEy0o8WI,14
sC3j5wmLDT4,10
DRlrNjkxE3c,0
HO1xuuozDPM,9
47tkLH5-ASE,11
-XBWNbyfIDs,0
80iK0FthFpU,0
5dapprOc3YE,2
uh9JvQzGpfY,14
sZ3htiLBlkk,0
09yxWl2Ek1M,6
UxVnOPYmwXs,6
Cyob7dfiEw4,11
KXhidQInra8,9
9O91m-hixj8,2
8L-G92dnLsM,9
pSMo30HYK88,2
-i7p94TDe84,15
WE9gG4t0nVQ,10
A-U6b6a6va0,16
rWipVSHylow,4
DmzbK3jmlIA,15
-LHHfaxzj7I,1
bcfFNLvAoYU,17
ptJRLImpEBY,15
vdpuK0cFNWQ,14
cK6IDGc91Mk,10
Ar15nlMXDxo,1
y9Mnv6Oy29Y,1
t06OIXGjaYg,18
qqlCMdNW7Tw,12
J3g4VEVdAgo,6
nwWGidbDORg,11
f8AVOncqFGg,7
Df1mkg7Oqkg,2
phjkrIgeQQc,3
8m5f7SFVbIQ,2
52sRaSChXUg,2
jjobcORrocs,15
JaRpLEniOMY,4
G1QKWg4qYt4,11
EcZOyEZnXRM,9
bDzcfykVhBU,4
trnvdk0niCQ,5
AYRohNF5vjY,17
U154xOogpds,18
jBMqzSd3UlM,16
JD0l1FP-al8,4
K9HCp6PVQbA,19
JtVev-UfPSM,5
